"CCT","longitud","latitud","tipo","gob","nombre","alcaldia","cp"
"09DPR2801T","-99.03754722","19.37344444","Primaria","Federal","Isaac Newton","Iztapalapa","9230"
"09DPR2802S","-99.06377778","19.42158889","Primaria","Federal","Profr. Eliseo Bandala Fernandez","Venustiano Carranza","15610"
"09DPR2803R","-99.22636111","19.337425","Primaria","Federal","Maria Patióóo Vda de Olmedo","Álvaro Obregón","1780"
"09DPR2804Q","-99.03754722","19.37344444","Primaria","Federal","Isaac Newton","Iztapalapa","9230"
"09DPR2806O","-99.01598889","19.3567","Primaria","Federal","Lic. Jose Ma. Lafragua","Iztapalapa","9560"
"09DPR2807N","-98.99645833","19.35264722","Primaria","Federal","Arturo Rosenblueth","Iztapalapa","9620"
"09DPR2808M","-99.03313333","19.35699722","Primaria","Federal","Gral. Herminio Chavarria","Iztapalapa","9500"
"09DPR2809L","-99.17116667","19.33503889","Primaria","Federal","Lic. Emilio Portes Gil","Coyoacán","4369"
"09DPR2811Z","-99.19365278","19.35498889","Primaria","Federal","Republica Francesa","Álvaro Obregón","1049"
"09DPR2816V","-99.17845833","19.28064444","Primaria","Federal","Estado de Queretaro","Tlalpan","14420"
"09DPR2817U","-99.06552222","19.31951944","Primaria","Federal","Profr. Jose Romero Y Fuentes","Iztapalapa","9780"
"09DPR2820H","-99.11891667","19.38267222","Primaria","Federal","Republica de Argelia","Iztacalco","8930"
"09DPR2821G","-99.08056111","19.30685278","Primaria","Federal","Juan Ramon Jimenez","Iztapalapa","9920"
"09DPR2822F","-99.118575","19.35931389","Primaria","Federal","Bandera Nacional","Iztapalapa","9099"
"09DPR2823E","-99.13789167","19.35972222","Primaria","Federal","5 de Mayo de 1862","Iztapalapa","9450"
"09DPR2825C","-99.07673889","19.49731667","Primaria","Federal","Profr. Pablo Damian Gonzalez","Gustavo A. Madero","7510"
"09DPR2826B","-99.07299722","19.302125","Primaria","Federal","Lic. Jose Angel Ceniceros","Iztapalapa","9790"
"09DPR2829Z","-99.02777778","19.36786389","Primaria","Federal","Ejercito de Oriente","Iztapalapa","9230"
"09DPR2830O","-99.06377778","19.42158889","Primaria","Federal","Profr. Eliseo Bandala Fernandez","Venustiano Carranza","15610"
"09DPR2832M","-99.14166389","19.54966389","Primaria","Federal","Profr. Jorge Casahonda Castillo","Gustavo A. Madero","7200"
"09DPR2833L","-99.02520556","19.35540556","Primaria","Federal","Republica Popular Socialista de Albania","Iztapalapa","9500"
"09DPR2834K","-99.15815278","19.31206944","Primaria","Federal","Profr. Alfredo Basurto Garcia","Coyoacán","4600"
"09DPR2835J","-99.10121389","19.38688056","Primaria","Federal","Lic. Alvaro Galvez Y Fuentes","Iztacalco","8700"
"09DPR2836I","-99.14022778","19.55324444","Primaria","Federal","Gregorio Torres Quintero","Gustavo A. Madero","7160"
"09DPR2838G","-99.13360556","19.30511111","Primaria","Federal","Margarita Maza de Juarez","Tlalpan","14310"
"09DPR2839F","-99.07958056","19.34792222","Primaria","Federal","Mtra. Guillermina Gonzalez Galicia","Iztapalapa","9830"
"09DPR2840V","-98.98687778","19.34020833","Primaria","Federal","Fabian Garcia Ramirez","Iztapalapa","9530"
"09DPR2841U","-99.05208611","19.35399722","Primaria","Federal","Profra. Ma. de La Luz Mercado Mendez","Iztapalapa","9200"
"09DPR2842T","-99.00705556","19.33809444","Primaria","Federal","Rafaela Suarez Solorzano","Iztapalapa","9640"
"09DPR2844R","-99.05629722","19.33646389","Primaria","Federal","Lic. Antonio Diaz Soto Y Gama","Iztapalapa","9720"
"09DPR2845Q","-99.02265556","19.34263889","Primaria","Federal","Andres Molina Enriquez","Iztapalapa","9660"
"09DPR2846P","-99.06228333","19.29597778","Primaria","Federal","Tláhuac","Tláhuac","13230"
"09DPR2847O","-99.07673889","19.49731667","Primaria","Federal","Profr. Pablo Damian Gonzalez","Gustavo A. Madero","7510"
"09DPR2848N","-99.23698611","19.27231389","Primaria","Federal","Profr. Cecilio Mijares Poblano","Tlalpan","14210"
